timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 15:42:34,2.39,0,watch,-,-,0.00,0.00,0.00
2026-05-09 15:43:27,30.73,1,watch,-,-,0.00,0.00,0.00
2026-05-09 15:44:00,4.85,0,bet,loss,win,1.00,1.00,1.00
2026-05-09 15:44:14,1.02,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:44:38,2.29,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:44:54,1.13,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:45:13,1.75,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:45:34,2.38,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:45:52,1.47,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:46:07,1.11,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:46:30,2.01,0,watch,-,-,0.00,0.00,1.00
2026-05-09 15:46:47,1.77,0,bet,loss,loss,-2.00,-2.00,-1.00
2026-05-09 15:47:07,1.32,0,bet,loss,loss,-2.17,-4.17,-3.17
2026-05-09 15:47:22,1.46,0,bet,loss,loss,-2.53,-6.70,-5.70
2026-05-09 15:47:40,1.45,0,bet,loss,loss,-2.95,-9.65,-8.65
2026-05-09 15:47:58,1.43,0,watch,-,-,0.00,0.00,-8.65
2026-05-09 15:48:09,1.01,0,bet,loss,loss,-3.44,-3.44,-12.09
2026-05-09 15:48:40,5.12,0,bet,loss,win,-1.02,-4.46,-13.11
2026-05-09 15:49:06,3.45,0,bet,loss,win,-1.19,-5.65,-14.30
2026-05-09 15:49:21,1.17,0,bet,loss,loss,-4.38,-10.03,-18.68
2026-05-09 15:49:33,1.14,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:50:08,7.27,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:50:23,1.26,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:50:41,1.84,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:51:01,1.16,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:51:17,1.51,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:51:35,1.94,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:51:46,1.00,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:52:07,2.16,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:52:24,1.54,0,watch,-,-,0.00,0.00,-18.68
2026-05-09 15:52:47,2.75,0,bet,loss,loss,-5.11,-5.11,-23.79
2026-05-09 15:53:12,3.46,0,bet,loss,win,-2.96,-8.07,-26.75
2026-05-09 15:53:36,2.89,0,bet,loss,loss,-6.46,-14.53,-33.21
2026-05-09 15:54:06,5.04,0,bet,loss,win,-4.54,-19.07,-37.75
2026-05-09 15:54:28,2.15,0,watch,-,-,0.00,0.00,-37.75
2026-05-09 15:55:09,12.92,1,watch,-,-,0.00,0.00,-37.75
2026-05-09 15:55:22,1.00,0,bet,loss,loss,-8.29,-8.29,-46.04
2026-05-09 15:55:37,1.40,0,bet,loss,loss,-9.67,-17.96,-55.71
2026-05-09 15:56:07,5.23,0,bet,loss,win,-8.29,-26.25,-64.00
2026-05-09 15:56:24,1.51,0,bet,loss,loss,-12.67,-38.92,-76.67
2026-05-09 15:56:50,3.69,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:57:13,2.60,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:57:47,7.28,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:58:08,1.86,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:58:32,3.15,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:58:49,1.55,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:59:03,1.24,0,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:59:43,11.22,1,watch,-,-,0.00,0.00,-76.67
2026-05-09 15:59:58,1.12,0,bet,loss,loss,-14.78,-14.78,-91.45
2026-05-09 16:00:21,2.84,0,bet,loss,loss,-17.24,-32.02,-108.69
2026-05-09 16:00:37,1.11,0,bet,loss,loss,-20.11,-52.13,-128.80
2026-05-09 16:00:50,1.26,0,bet,loss,loss,-23.47,-75.60,-152.27
2026-05-09 16:01:01,1.00,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:01:35,6.97,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:01:52,1.40,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:02:20,4.52,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:02:34,1.05,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:03:09,7.89,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:03:30,2.00,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:03:44,1.14,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:04:11,3.88,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:04:25,1.00,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:04:39,1.16,0,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:05:52,188.39,1,watch,-,-,0.00,0.00,-152.27
2026-05-09 16:06:30,9.67,1,bet,win,win,133.90,133.90,-18.37
2026-05-09 16:06:49,1.20,0,watch,-,-,0.00,0.00,-18.37
2026-05-09 16:07:12,3.48,0,watch,-,-,0.00,0.00,-18.37
2026-05-09 16:07:54,10.14,1,watch,-,-,0.00,0.00,-18.37
2026-05-09 16:08:17,2.36,0,bet,loss,loss,-2.00,-2.00,-20.37
2026-05-09 16:08:32,1.28,0,bet,loss,loss,-2.17,-4.17,-22.54
2026-05-09 16:08:56,2.25,0,bet,loss,loss,-2.53,-6.70,-25.07
2026-05-09 16:09:12,1.28,0,bet,loss,loss,-2.95,-9.65,-28.02
2026-05-09 16:09:24,1.01,0,watch,-,-,0.00,0.00,-28.02
2026-05-09 16:09:46,2.39,0,watch,-,-,0.00,0.00,-28.02
2026-05-09 16:10:04,1.56,0,watch,-,-,0.00,0.00,-28.02
2026-05-09 16:10:25,2.29,0,watch,-,-,0.00,0.00,-28.02
2026-05-09 16:10:48,2.19,0,bet,loss,loss,-3.44,-3.44,-31.46
2026-05-09 16:11:03,1.05,0,bet,loss,loss,-4.02,-7.46,-35.48
2026-05-09 16:11:15,1.15,0,bet,loss,loss,-4.69,-12.15,-40.17
2026-05-09 16:11:38,3.00,0,bet,loss,win,-2.47,-14.62,-42.64
